logFC	AveExpr	t	P.Value	adj.P.Val	B
HexCER d18:1/20:0	1.94459554400431	-2.24708020527937	6.69705246397074	1.51239786772035e-06	0.000854504795262	5.25717357805369
TG 52:8-FA16:1	1.09570796629708	-2.62845726989541	4.81419405364663	0.000102017943116927	0.0135651356439679	1.42788186670769
CE 24:0	1.64629820517321	4.61340406542474	4.81294598768066	0.000102314847064866	0.0135651356439679	1.4252094920131
CE 20:1	1.57071560086135	2.04044736373997	4.67178717471801	0.000142217288974995	0.0135651356439679	1.12226790066313
HexCER d18:1/22:1	1.35679314673962	-1.78521719587432	4.64534021661394	0.000151287065543603	0.0135651356439679	1.06536976014337
CE 17:0	1.13437833378769	1.97255705054376	4.57975861210191	0.00017637941665511	0.0135651356439679	0.924109897755867
SM d18:1/26:1	1.20011300778447	0.931384773502241	4.55235838384591	0.000188069818068236	0.0135651356439679	0.865025796623047
CE 22:2	1.56081778494443	3.11523889151937	4.543369473589	0.000192072717082732	0.0135651356439679	0.845634911478956
TG 54:8-FA22:6	-1.00014880336745	1.40530631019448	-4.46304003979846	0.000231882477544075	0.0139651635537734	0.672193244522677
TG 58:10-FA22:6	-1.17215645173962	3.09313697818369	-4.4194692039321	0.000256850778741922	0.0139651635537734	0.578015290048201
TG 53:2-FA18:1	0.960767211454894	2.08237899200818	4.39523962636019	0.000271888139984969	0.0139651635537734	0.525616757754564
TG 53:2-FA16:0	1.02959000304868	1.41211695237091	4.3352982733078	0.000313003606877971	0.0147372531571711	0.395920089695977
SM d18:1/26:0	1.06546475223527	-0.0417627587734303	4.23569710851646	0.000395593643914517	0.0161301708079834	0.180256763581152
TG 58:9-FA22:5	-0.928768239904838	0.0417448519010049	-4.2313216510413	0.000399685648339412	0.0161301708079834	0.170779943953511
TG 55:3-FA18:1	0.898010348757427	1.05771471056588	4.17401416874905	0.000457364396222748	0.0172273922577235	0.0466487425584008
TG 51:0-FA18:0	1.05359114708165	-2.07506970185945	4.12440587474057	0.000513981979025133	0.0175166097262998	-0.060804888038211
TG 53:1-FA18:1	1.13229430402663	-0.105713985425541	4.09718007529553	0.000547980793530801	0.0175166097262998	-0.119770135864598
CE 18:0	1.06622662862078	2.98985623602941	4.08943937641498	0.000558051283315746	0.0175166097262998	-0.136533371399405
CE 22:4	1.3175484835233	0.146852929234237	3.99293950464395	0.000700249174734256	0.0189111281255194	-0.345425816840454
TG 56:8-FA16:0	-0.935247819159035	2.99871525712892	-3.98275790565873	0.000717217048296804	0.0189111281255194	-0.367453214854864
TG 58:10-FA22:5	-0.891155969553689	-1.10719564629517	-3.9779723748638	0.000725333242385217	0.0189111281255194	-0.377805439160083
TG 54:4-FA18:0	-1.08688429695927	2.70347814477025	-3.97155406614066	0.000736362511082172	0.0189111281255194	-0.391688659097901
TG 54:8-FA18:3	-1.09959699916153	-0.162059416160574	-3.84353150627462	0.000994793255537853	0.0228770918173914	-0.668284906069658
CE 24:1	1.33170063287772	2.31216109157873	3.83234414443476	0.00102126561479384	0.0228770918173914	-0.692419813824241
TG 52:6-FA16:0	-0.864893096388164	0.138358343730438	-3.80428605053746	0.00109077638115063	0.0228770918173914	-0.752920092126722
TG 56:8-FA22:6	-0.892949903000429	5.54205824659098	-3.79590794795706	0.00111242841402426	0.0228770918173914	-0.770976505263882
TG 55:1-FA16:0	-0.887187013356806	2.88075614915461	-3.79488878529837	0.00111509122479204	0.0228770918173914	-0.773172706706599
CE 20:0	1.18246345479618	5.14235518373891	3.78782113769593	0.00113373198387073	0.0228770918173914	-0.788401082476287
TG 54:3-FA18:1	0.979153995974469	6.50793899938919	3.72616958226771	0.00131000790377696	0.0255225677804822	-0.921100475181154
TG 58:8-FA18:2	-0.83172665203671	0.819026275071615	-3.69476418026028	0.00140998113280732	0.0257727736162489	-0.988593183572636
TG 52:3-FA16:1	1.07183860165115	4.98940804678193	3.67872611614956	0.00146391115120573	0.0257727736162489	-1.02303047261861
TG 49:1-FA16:1	0.808914535915022	-2.24931349570102	3.65571046589846	0.00154488648095126	0.0257727736162489	-1.07241301444467
TG 52:6-FA22:6	-0.794858331141419	-0.895935665648779	-3.65451145684676	0.00154922418326153	0.0257727736162489	-1.07498437886961
CE 22:1	1.06365352883028	0.175790033090165	3.65404141088742	0.00155092796982737	0.0257727736162489	-1.07599239345473
CE 14:1	1.23654020882925	-0.393624676165755	3.62773707741535	0.00164928375761631	0.0257810986309323	-1.13237087962087
TG 54:5-FA18:0	-1.01650145861321	0.119807317571801	-3.62734943373869	0.00165077834481286	0.0257810986309323	-1.13320125468618
TG 55:2-FA18:1	0.827975778536358	0.241520905163642	3.61772453071918	0.00168831973335309	0.0257810986309323	-1.15381437859428
TG 50:4-FA14:0	-0.989860597829112	1.1822345976539	-3.59099849441763	0.0017970392675286	0.0267191364777279	-1.21100583930174
LPC 20:0	0.858750070584628	0.802161185576437	3.55300789074147	0.00196356078634481	0.0280318209598374	-1.29217953185127
TG 56:8-FA18:2	-0.804285410732795	3.10386943995114	-3.5412512335366	0.00201810912108496	0.0280318209598374	-1.31726897482145
TG 53:1-FA18:0	0.951146131364997	-1.32267490583735	3.53784981050985	0.00203416753867847	0.0280318209598374	-1.32452502150089
TG 54:7-FA18:2	-0.997639537789889	3.12629990613599	-3.52517514501145	0.00209512151339198	0.0281843727396779	-1.35155183564428
TG 51:3-FA16:1	0.872766541971528	0.321762353750424	3.51283810697925	0.0021561775554596	0.0282077566707162	-1.37784134213982
TG 53:1-FA17:0	0.855364593300971	-2.45879128337019	3.50483649654323	0.00219671025400268	0.0282077566707162	-1.39488296151156
TG 51:1-FA16:0	0.961100283261207	0.696718953860988	3.49347776507376	0.00225553892895947	0.0283195443302688	-1.41906162122028
TG 50:5-FA14:0	-1.0272162492292	-1.37027800927959	-3.46104260318036	0.00243218657438641	0.029873595968007	-1.48801875275556
TG 51:0-FA16:0	0.88619422072138	-0.264716016952354	3.43252271935872	0.00259869260043638	0.0312396025371607	-1.54854272529053
TG 60:10-FA22:6	-1.02653605299914	-0.149406780313192	-3.41033990963985	0.00273589050403375	0.0322037111412306	-1.59554433336397
TG 55:4-FA18:1	0.874088313214184	1.00377645208148	3.38255967790987	0.00291775815623808	0.0336435379239697	-1.6543106369114
TG 53:1-FA16:0	0.810608171108759	0.267260754081919	3.3643747066054	0.00304317005251365	0.0337215375050565	-1.69271965841395
TG 56:9-FA18:3	-0.751304448155888	-0.43190702197333	-3.36049591763517	0.00307059521312232	0.0337215375050565	-1.70090591877483
TG 51:1-FA18:1	1.08910744318343	0.513199786155396	3.35587617808445	0.00310357513320874	0.0337215375050565	-1.71065306572267
TG 54:7-FA18:3	-1.06584630984214	2.074815299954	-3.3407474724536	0.00321402275279829	0.0342626953836044	-1.74255062230165
SM d18:1/20:1	0.835583594347735	0.389070621749782	3.32638350591059	0.00332244132458966	0.0343667264847383	-1.77280354218377
TG 54:6-FA18:2	-1.11926234766714	5.10606968139252	-3.32339632875729	0.0033454335516117	0.0343667264847383	-1.77909102847812
TG 50:5-FA18:3	-0.789462465828901	-0.691656979469665	-3.30733129720858	0.00347177869991852	0.0350277672402493	-1.81288105216567
TG 58:7-FA18:0	-0.71286822393961	-0.931744914376481	-3.27964469653552	0.00370054798820523	0.0366808704094027	-1.87101765357631
TG 56:6-FA18:3	-0.797104538498755	-0.930301938556498	-3.25934193291394	0.00387759243585928	0.0367977732011926	-1.91356886893875
TG 53:4-FA20:4	0.827146460067993	-2.43853944415859	3.25716587160852	0.00389705139408605	0.0367977732011926	-1.918125383374
TG 51:2-FA16:1	0.775901197536547	-0.877277987583427	3.25597640905393	0.00390772812756028	0.0367977732011926	-1.92061568846725
PC 18:0_20:0	0.764034371562514	1.62699219461415	3.23131291912237	0.0041356467561094	0.0383055806098657	-1.97219677144878
HexCER d18:1/22:0	0.770973642144486	-0.110254990954272	3.19986708441193	0.00444508888182255	0.0400973279217928	-2.03780523696724
PI 18:0_20:3	0.859543338509221	2.53592595247564	3.19732859247567	0.00447102948508486	0.0400973279217928	-2.04309365071635
TG 52:5-FA16:0	-0.748506003340989	3.30511436627351	-3.17270401089024	0.00473042958732078	0.0417608237005663	-2.09433107113763
TG 52:7-FA16:0	0.81492829003902	-0.500650137136163	3.12411266442301	0.00528588326758107	0.0459465237874354	-2.19509267048776
TG 54:1-FA20:0	0.954892949893761	2.04031418357166	3.10672131774127	0.00549966741560912	0.0464552221063666	-2.23104091351251
TG 49:0-FA16:0	0.930258618085968	-0.0353872442221693	3.10598912931327	0.00550884934712666	0.0464552221063666	-2.23255299000463
TG 54:6-FA22:6	-0.674401873081983	1.68195537506166	-3.08582208131602	0.00576767183893689	0.0478728031799158	-2.27415668660493
TG 51:2-FA16:0	0.717150564782722	2.35834540365283	3.07853761927504	0.00586402448559784	0.0478728031799158	-2.28916298363466
TG 56:3-FA16:0	-0.827350319228063	-1.07234392533755	-3.07353141064714	0.00593114375680373	0.0478728031799158	-2.29946937139555
TG 46:2-FA18:2	-0.708773562648994	-2.62860271092923	-3.03150564427216	0.00652466604118396	0.0505102166287552	-2.38577175409988
TG 54:7-FA22:6	-0.661824068998123	2.84324697770879	-3.02631830979878	0.00660178914635264	0.0505102166287552	-2.39639682196237
TG 58:9-FA18:2	-0.837266713389641	1.77314369829577	-3.02270785180466	0.00665598671511589	0.0505102166287552	-2.40378839236144
TG 56:9-FA22:6	-0.789490202657016	3.19793937580847	-3.02258343881273	0.00665786194843776	0.0505102166287552	-2.40404304570209
TG 52:2-FA18:1	0.806289498417308	7.58062106725802	3.01488534051769	0.00677489007378779	0.0505102166287552	-2.41979288342799
PC 18:1_20:0	0.766800027690955	0.798374819088271	3.01362133040499	0.00679429462616884	0.0505102166287552	-2.4223776628529
TG 58:10-FA18:2	-0.798539770679267	1.65225331154515	-2.99417114543084	0.00709973288757504	0.052095442616622	-2.46210441275307
TG 50:3-FA18:3	-0.934799966488129	0.319727447386584	-2.98492914341888	0.00724946579750898	0.0525121560973407	-2.48094979297185
TG 54:8-FA18:2	-0.692276900493146	0.533202264506787	-2.96029498229875	0.00766358580825606	0.054809189641325	-2.53108092938887
TG 52:6-FA18:2	-0.676003866789862	1.46545030334086	-2.9451469212448	0.00792944616539147	0.0555418777010357	-2.5618337943462
TG 53:3-FA16:0	0.936020355034976	1.43884139191534	2.94328999016691	0.00796264087395379	0.0555418777010357	-2.56559972005027
TG 55:5-FA20:4	0.65541958937577	-1.8489807456976	2.93308938535761	0.00814738471309928	0.0557441332751915	-2.58627148529997
