baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sox17	142.745437900771	-0.449337043576346	0.665704297333476	-0.67497993534997	0.499688512791654	0.913450113698403
Mrpl15	249.950812838633	-0.148345328419103	0.283656008234817	-0.522976154611536	0.600990847248026	0.935699546682478
Lypla1	376.333704760012	-0.216235155131348	0.271613070098851	-0.796114690109173	0.425965376489859	0.890385623398044
Tcea1	942.063192263232	-0.134049228636302	0.175557733630569	-0.763562082194488	0.445128252708012	0.895962368475396
Rgs20	17.3294383625496	-0.329638893650315	0.78186185961188	-0.421607589112927	0.673311465985987	0.948085711277691
Atp6v1h	613.872971093007	-0.22843642052534	0.20622782428029	-1.10768962104195	0.267995883289391	0.818713541469149
Npbwr1	0.580944458351152	-1.69486019309066	3.30540835922339	-0.512753647627632	0.608123657414065	0.93653639761049
Rb1cc1	1263.57263709365	-0.179097361675867	0.173597192838056	-1.03168351254932	0.302220403605631	0.84268072406534
St18	70.6134340217007	-0.926417717904227	0.67857503463422	-1.36523990807237	0.172177658995304	0.752297810496992
Pcmtd1	1139.85977708316	-0.218632809250299	0.196752537686876	-1.11120706152337	0.266479232395595	0.817276546946448
Rrs1	769.199001552424	0.216867988606091	0.14396504899485	1.50639332338122	0.131966233636446	0.714721036066701
Adhfe1	434.907779216975	-0.117314607700523	0.226613146101184	-0.51768668199038	0.604676891822668	0.936365214243034
2610203C22Rik	442.071397182644	-0.237497962536513	0.21919749015338	-1.08348851243839	0.27859164704907	0.825212614731761
Vxn	306.427514601985	0.234264536406576	0.231481599058087	1.01202228323898	0.311527399160926	0.846951344178917
Mybl1	32.43249425581	-0.793795038962915	0.998563283240862	-0.79493713847222	0.426650069490775	0.890758330200756
Vcpip1	1885.38951175213	0.00883873599158329	0.103762128367204	0.085182678214771	0.93211616130601	0.989874112000789
1700034P13Rik	462.13070333643	0.0738772497566738	0.150070376084206	0.492284031561435	0.622518567086003	0.938331866120593
Sgk3	1185.54003614014	-0.335458681035668	0.195185616129608	-1.71866496972254	0.0856753940814939	0.652546243589877
