baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Sox17	180.47203716939	-0.558072341183771	0.760729326928694	-0.733601718020897	0.463191513556915	0.684037926078662
Mrpl15	257.922520904765	-0.146773416905599	0.335870150314995	-0.436994525318633	0.662115318409072	0.821821221293099
Lypla1	357.706023912578	0.246600554384478	0.346542967235179	0.711601670499705	0.47671147231055	0.694895082677252
Tcea1	886.256589412517	0.19333841347611	0.206574056305883	0.935927855286072	0.349310334171328	0.582312692031185
Rgs20	16.9555834949473	0.258647795304575	0.848970837695959	0.304660400357832	0.760624812542192	0.879341482496124
Atp6v1h	578.706512761883	0.299285052575602	0.235648681013667	1.27004764587774	0.204067658835637	0.422536794968568
Rb1cc1	1207.61930817158	0.180203839520943	0.184434538211383	0.977061244973589	0.328538832717389	0.56111562229097
St18	91.6353456105255	-0.287845475018149	0.784146098837466	-0.367081434754179	0.713558275035227	0.853283050637887
Pcmtd1	1094.95047686574	0.208356204104299	0.220424079374685	0.9452515564333	0.344530463924919	0.577153824995793
Rrs1	675.626820812916	0.0250429930023197	0.199969499125455	0.125234063753935	0.900338250542317	0.953591226899807
Adhfe1	463.938702526352	-0.296868226918618	0.242540618045361	-1.22399385847651	0.220954544354959	0.444456192424724
2610203C22Rik	446.407550772394	0.0258188176959111	0.315181288566927	0.0819173556060536	0.934712433045416	0.969359905394066
Vxn	331.735599518861	-0.692661509028465	0.261440307096486	-2.64940596467719	0.00806334081694052	0.0483238828658283
Mybl1	28.8215670787347	1.48429245846324	1.35359408450137	1.09655654930704	0.272835290435417	0.504183464879354
Vcpip1	1739.69388245623	0.0947276196085066	0.106227941012156	0.891739204449671	0.37253273475631	0.60378130074847
1700034P13Rik	460.261063799297	-0.264703794814645	0.18995972425332	-1.3934732525809	0.163476727872741	0.368851737844892
Sgk3	1184.54232785175	0.174610398698656	0.203323959904952	0.858779254448323	0.390462315187641	0.61993044716651
Mcmdc2	17.2579570198287	0.0875171428513078	0.834841580962862	0.104830838385374	0.916510039369542	0.960515244159679
Snhg6	36.3083675652962	1.46151713567105	0.943709122176396	1.54869450906703	0.12145517447829	0.305306405529121
Tcf24	52.8817642402522	0.0562794391834852	0.783575429307737	0.0718238947757796	0.94274205664544	0.973396689836406
Ppp1r42	481.621142394632	-0.572419289649062	1.62921291975804	-0.351347133764489	0.725327938375868	0.86000694031825
Cops5	334.199938566396	-0.0261686585428075	0.256295061910919	-0.102103639249604	0.918674412410333	0.96184334835635
Cspp1	944.39440189802	-0.0313246139361345	0.210881970886644	-0.148540976757907	0.881915849846986	0.945329391717652
Arfgef1	1858.9207792436	0.327515246377661	0.155361431353892	2.10808592276436	0.0350235578792598	0.134163826486378
Prex2	384.263701939841	-0.0114496507622963	0.388520363806675	-0.0294698858255819	0.976489836135401	0.988323386554506
A830018L16Rik	281.277039808912	-2.47191238121822	1.01781035697762	-2.42865713074343	0.0151548565842225	0.0758339065212858
Sulf1	5176.81230280872	-2.55063664875161	0.297876051940364	-8.56274491398944	1.10211595297865e-17	9.13488807626354e-15
Slco5a1	55.2606410426231	-0.772951439171323	0.764855735478831	-1.01058461526398	0.312215282277017	0.545086122623077
Ncoa2	2803.78240476204	0.228898710634613	0.110309558438035	2.07505780891322	0.03798117736955	0.141581735384536
Tram1	1947.15434996488	0.0940266162825792	0.142809994270144	0.65840361357844	0.51027881402127	0.72162531138292
Lactb2	425.433793844287	-0.3467131008484	0.237078396967985	-1.4624407170056	0.143620478570917	0.339366805199976
Gm5523	151.417439127085	-0.713417625902256	0.292950729463027	-2.4352819575153	0.0148801896527315	0.0749525687855758
Eya1	82.9386592180053	0.118269490701425	0.453444029470799	0.260824893514321	0.794227546477971	0.898512935096248
Kcnb2	127.616860677775	-0.973808444291874	0.495846752357778	-1.9639302660779	0.049538179379616	0.169846029901532
Terf1	170.643991292358	0.554459871739228	0.309933114223387	1.78896621978765	0.073620255960315	0.219227366673397
Sbspon	77.8734814554154	-1.30817070359871	0.493821428881207	-2.64907642133408	0.00807120781943622	0.0483238828658283
4930444P10Rik	53.2327723862357	-0.910566461735694	0.590988680341968	-1.54075110408004	0.123377373856833	0.308243227710927
Rpl7	5208.69508290015	0.411423032924237	0.160858864597643	2.55766465810468	0.0105377656475049	0.0589354052424726
Rdh10	395.260904552014	-0.513849628214275	0.249863544536138	-2.05652100696889	0.0397323235584699	0.14584648530309
Stau2	228.938165145996	0.0855978220940863	0.291609033741759	0.293536249531588	0.769112295996265	0.884785967397125
Ube2w	223.470418414649	0.200446603650726	0.355710704294131	0.563510181816121	0.573087528820978	0.767930803109316
Eloc	268.023344178413	-0.182956336113009	0.3423996743217	-0.534335602028388	0.593109364723354	0.781369620839151
Tmem70	219.827467011174	-0.644512061494799	0.41627907894028	-1.54826916388767	0.121557505378782	0.305450775604679
Ly96	92.2734018745871	1.26441635868995	0.468721653403652	2.69758469554011	0.00698445151486691	0.0433475300494005
Jph1	288.225185773567	-1.12739314894286	0.60919883699769	-1.85061605583323	0.0642248082034618	0.20061327408871
Pi15	19.2627452506133	0.64770277135234	0.714316617431886	0.906744650125827	0.364541845814553	0.596604815684454
Gm16070	84.9312945388626	2.04500770242549	1.15621493231123	1.76870895304699	0.0769424574161944	0.225880091031602
Crispld1	224.021470919771	-0.779810873719765	0.393142890146067	-1.98353039890925	0.0473082149684697	0.164511910957064
Tfap2b	35.9456180125987	-0.14204580738493	1.12257907907388	-0.126535234829172	0.8993082598233	0.953125313157141
Mcm3	1405.27631975326	0.255154684581499	0.142414742690826	1.79163111740071	0.0731920751522038	0.218731752262138
Paqr8	84.0224439140398	0.882916164936363	0.37620263072733	2.34691650940713	0.0189294959388881	0.088717629114772
Efhc1	199.533957899622	-1.02784029381276	0.679264295158205	-1.51316696776087	0.130237252486211	0.319383268652338
Tram2	201.816423564649	-0.257632069366186	0.224791607100288	-1.14609291996941	0.251756706777823	0.480722663078451
Tmem14a	155.492363699012	-1.48948051660053	1.34939835009118	-1.10381083280551	0.269675204716589	0.500327570944141
Rims1	22.1738203987909	0.0593567868006986	0.693878973085167	0.0855434291902273	0.931829370480769	0.968035061381194
Ogfrl1	2574.236009264	0.531467363842272	0.153551957706845	3.46115654778513	0.000537859940217711	0.00617458741619736
B3gat2	243.196241857677	0.272034914425856	0.274809946941786	0.989901993916843	0.32222202482771	0.554612657623191
Smap1	973.913990912239	0.0937546668252041	0.16507486781334	0.567952396794998	0.570067291946388	0.765799608567756
Sdhaf4	84.862341816147	-0.274987614407755	0.44237873004521	-0.621611293064773	0.534197493436519	0.739551682703956
Fam135a	786.8543936837	-0.184417478480014	0.182562812586476	-1.01015905631197	0.312419091935222	0.545269665930742
Lmbrd1	2330.80565626503	-0.360694951252242	0.119544601583349	-3.01724165269612	0.00255086371828953	0.0201368007763367
Adgrb3	238.742123849491	-1.330156832397	0.791651204226105	-1.68023092151716	0.0929123953033467	0.257164004433995
Gm20172	152.917948654337	-1.04370680365614	0.970892009632876	-1.07499783014056	0.282375699804725	0.513148648943534
Phf3	2700.68251813888	0.168884376070535	0.146703314549549	1.15119673055168	0.249651309962028	0.478159418283136
Ptp4a1	1886.2188206509	0.392051805468755	0.205790506253361	1.90510151613154	0.0567668763781666	0.18563279141821
LOC115487084	157.349065990583	0.681995299139304	0.352510188566523	1.93468251772418	0.0530292669761132	0.177700238546187
Prim2	275.872591175571	0.395695476126609	0.211032120950017	1.87504856770278	0.0607860422519436	0.193879780341497
1700001G17Rik	67.1010010518384	-2.07923948179815	0.699888020535023	-2.97081736048102	0.00297008355472738	0.0227099054828025
Rab23	184.651901097513	-0.361401745901329	0.325131915909388	-1.11155419759544	0.266329875003541	0.496905649469806
Bag2	98.4690557282591	0.373190924919019	0.461765204020622	0.808183296769917	0.418985071784623	0.647842135525949
Zfp451	1216.05142334787	0.349518986219455	0.128262124966355	2.72503661007596	0.00642943574698031	0.0408982181034891
Gm15455	42.9560610648691	0.587902658222207	0.795296049332437	0.739224919721009	0.459770431282752	0.681352980455407
Bend6	198.525622245804	0.635851036200444	0.265647893253489	2.39358584181843	0.0166845765891181	0.081013540163389
Dst	57175.0936284023	0.362618530879916	0.108689232161145	3.33628753897433	0.000849052980615932	0.00878025655625097
Mir6896	19.7269047249715	1.32376724555938	0.928942098507718	1.4250266487932	0.154149498018154	0.355459183689217
Gm26788	1362.8249783178	0.385509194131146	0.158625634930707	2.43030828087496	0.0150859850140199	0.0756187582292665
Mir5103	88.6849213509291	-0.983127162490158	0.477252721892472	-2.05997182916364	0.0394012340049027	0.145080909839909
Ccdc115	408.2668744637	-0.0237166818977991	0.20665063558099	-0.114767040668037	0.908629774129017	0.957567981158373
Imp4	493.400624026029	0.327541547587998	0.152544459476955	2.14718744103243	0.031778362142978	0.125426168867654
Ptpn18	1774.80542567675	0.278422087458956	0.111400748076979	2.49928382228246	0.0124444598954274	0.0660345107831304
Arhgef4	596.306622496175	-0.133711526491225	0.25567905419996	-0.522966290334649	0.600997711856693	0.78767629921515
Fam168b	5436.25919567665	-0.111803860034498	0.133038519647561	-0.840387132468724	0.400691361432402	0.630268799153078
Plekhb2	2369.97454753515	-0.398111692545521	0.106353748041439	-3.74327844459606	0.000181634759555277	0.00269075907877376
Hs6st1	3806.59548547454	0.0932240681586594	0.124555639202095	0.748453211398971	0.454186836851647	0.676555904174882
Uggt1	4211.11326047491	0.105669647406411	0.114853871006642	0.920035576339433	0.357554168312707	0.590040151164031
Neurl3	4921.44800204384	0.277178270856548	0.12410687204202	2.23338374657208	0.0255236490831665	0.109132197795112
Arid5a	2286.57170044503	0.308964615202295	0.124395191548415	2.48373439002299	0.0130012741462505	0.0680703706253154
Kansl3	2911.70035435313	-0.2291692715999	0.124578828772045	-1.83955230482408	0.0658339921472285	0.204330666134546
Fer1l5	617.280192518194	-0.0707029609800203	0.201801563026021	-0.350358837264821	0.726069414125487	0.86028246364325
Lman2l	1026.07626740386	-0.404181368761397	0.211767686821672	-1.9086073745602	0.0563127598911628	0.18477763672126
Gm33454	41.9532252415224	1.2497582255373	0.545175402296971	2.29239657598589	0.0218827694307804	0.0987345315334911
Cnnm4	711.878035816221	0.0642972280921796	0.172176831140042	0.373437167279974	0.708823101451876	0.850905970944148
Cnnm3	1024.10895032096	-0.24570897721524	0.204014633490431	-1.20436937787977	0.228446842305268	0.454384145669564
