baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	31.2033872376411	-0.112692334890222	0.714220184858385	-0.157783744116062	0.874627208507601	0.962648213058866
Sox17	195.109046411756	-0.740840150613999	0.705090011473059	-1.05070294367985	0.293395043624449	0.636865575758877
Mrpl15	246.725886639154	-0.578156456253061	0.31327692843694	-1.84551240060258	0.0649630362970931	0.30625431397201
Lypla1	389.439129971339	0.332783274789428	0.368190667660148	0.903834083857327	0.366083385666791	0.698855827729394
Tcea1	889.525377005969	0.0448991076080015	0.25674528712619	0.174878020588295	0.861175481152258	0.957656980169783
Rgs20	15.4232680047359	-0.160481209912127	0.900799201464135	-0.178154254190374	0.858601834790276	0.956736922715045
Atp6v1h	513.511338091845	-0.176996545778523	0.277740930873712	-0.637272098216603	0.523947622062197	0.808558431384932
Rb1cc1	1246.1398171389	0.103095134132538	0.141480044375587	0.728690286941468	0.466191135622619	0.771377514817746
St18	95.7241510156843	-0.490251131386253	0.684476380541496	-0.71624258385426	0.473841572855652	0.7767156553857
Pcmtd1	984.732582709025	-0.266702546310101	0.204989818270997	-1.3010526501249	0.193240433640996	0.524074154351814
Rrs1	763.751385790694	0.160951396733452	0.243308695135739	0.661511076057761	0.508284613872816	0.798504820422876
Adhfe1	489.160362039285	-0.456518781533017	0.265346797000408	-1.72046087118329	0.08534870040163	0.353832551916305
2610203C22Rik	460.322676416605	-0.105012137361868	0.360156962656495	-0.291573253470667	0.77061292786894	0.925012080371705
Vxn	416.764852995002	-0.368648066428371	0.305729900769867	-1.20579657239959	0.227895937449188	0.564488213110121
Mybl1	16.4017562377307	0.326585842966224	1.39049490652829	0.234870218821317	0.814309464985059	0.940951357448099
Vcpip1	1787.13346054555	-0.0197446594119246	0.146244174784977	-0.13501159578462	0.892602706167661	0.968370349909028
1700034P13Rik	520.435529094876	-0.189362215318887	0.236487425815192	-0.800728472840106	0.423288855308944	0.740810349207335
Sgk3	1144.21362567099	-0.0918010715835058	0.221352456477716	-0.414728045237427	0.678340999359413	0.889556019673503
Mcmdc2	19.6261323705305	0.253185928871887	0.749725684883424	0.337704755188233	0.735585690961429	0.912524459330822
Snhg6	36.1422834605068	1.53149422036291	1.07500967679031	1.42463296231486	0.154263326585222	0.470141279766561
Tcf24	56.2065000153849	0.0404201728187349	0.717504058830885	0.0563344169573009	0.955075401590735	0.988318853950902
Ppp1r42	343.995705746215	-4.06201600326334	1.66090302864356	-2.44566716612031	0.0144584405060626	0.131570056066803
Cops5	337.39242980999	-0.227429222904961	0.268636936319991	-0.846604439510343	0.397215638575817	0.724334543911173
Cspp1	1061.27754704273	0.080833957625994	0.175209944766421	0.461354849085518	0.64454403941091	0.872831141640674
Arfgef1	1744.30430699041	0.02849228800612	0.210406487239601	0.135415444551737	0.892283413619396	0.968370349909028
